campaign_fact_id,date,campaign_key,product_key,channel_key,region_key,spend,leads_generated,impressions
17,2022-01-29,58,12,600,401,111.92,23,241
22,2022-01-19,38,14,602,400,84.34,38,1901
23,2022-01-17,55,6,602,400,53.45,20,4191
32,2022-01-14,92,2,600,403,182.52,5,223
39,2022-01-02,39,2,600,402,65.13,18,172
46,2022-01-20,61,7,603,403,186.49,14,1866
59,2022-01-10,28,5,600,400,142.39,15,307
60,2022-01-27,58,15,603,403,142.29,22,8960
72,2022-01-15,14,13,600,402,72.23,8,168
76,2022-01-18,92,5,602,401,91.3,34,5266
95,2022-01-06,45,15,602,403,138.23,34,2354
98,2022-01-22,67,9,604,401,174.64,17,9676
103,2022-01-15,5,14,603,400,89.75,40,8084
109,2022-01-01,4,7,600,400,123.11,12,348
119,2022-01-11,37,2,600,402,63.06,17,286
134,2022-01-27,30,5,600,400,87.43,12,230
136,2022-01-17,68,12,600,402,105.86,10,307
137,2022-01-21,1,12,603,400,133.76,37,5481
138,2022-01-16,98,5,600,400,134.93,19,318
145,2022-01-13,89,1,600,400,155.86,13,127
153,2022-01-28,25,8,604,400,171.7,49,7019
156,2022-01-03,96,9,600,401,81.8,6,169
157,2022-01-21,89,8,600,402,134.48,15,223
163,2022-01-03,30,6,600,400,101.44,7,253
171,2022-01-18,10,1,600,403,53.11,11,173
197,2022-01-18,56,2,600,402,155.4,20,332
203,2022-01-08,66,2,600,402,148.21,18,143
216,2022-01-28,53,1,600,401,155.92,21,356
219,2022-01-03,3,1,604,402,159.37,27,2534
248,2022-01-21,13,15,602,402,127.88,46,9095
259,2022-01-12,52,7,603,403,59.21,50,9762
262,2022-01-11,81,3,600,400,85.82,16,353
270,2022-01-29,21,8,602,402,71.93,50,4469
272,2022-01-01,76,13,602,400,58.9,25,8048
288,2022-01-13,95,5,602,401,161.4,41,3081
289,2022-01-18,94,4,604,402,167.83,31,1233
296,2022-01-24,46,15,604,402,156.8,44,5686
298,2022-01-27,76,10,600,400,69.79,7,291
306,2022-01-19,78,9,600,402,174.53,9,312
309,2022-01-25,15,10,603,400,130.15,44,5926
316,2022-01-12,27,4,604,402,69.65,50,7117
343,2022-01-16,44,10,604,401,106.55,17,9599
349,2022-01-01,5,5,600,403,102.99,12,251
350,2022-01-01,55,3,600,401,139.35,5,341
354,2022-01-14,94,1,600,403,122.05,6,270
362,2022-01-07,50,5,604,400,84.03,24,8981
365,2022-01-21,97,11,600,402,72.22,12,132
388,2022-01-19,11,11,600,401,131.51,23,289
402,2022-01-17,76,8,600,403,183.87,8,147
406,2022-01-23,84,15,600,403,151.69,16,203
408,2022-01-12,55,14,602,401,189.69,55,7522
416,2022-01-29,9,13,602,402,154.98,32,4143
419,2022-01-01,18,5,600,402,178.33,6,336
421,2022-01-28,2,9,603,402,96.62,42,6548
425,2022-01-12,67,6,603,402,170.71,42,2270
439,2022-01-11,100,14,600,403,92.24,18,324
443,2022-01-12,67,2,600,402,93.82,13,122
444,2022-01-25,23,13,603,403,85.76,46,2801
453,2022-01-16,2,4,600,402,124.34,19,274
461,2022-01-03,29,15,600,400,172.44,22,344
464,2022-01-03,19,13,600,402,123.59,5,170
472,2022-01-17,9,4,604,402,67.92,48,7060
473,2022-01-08,7,1,603,402,72.25,29,5315
474,2022-01-08,27,12,604,402,185.67,38,5575
487,2022-01-08,81,6,602,402,139.4,27,8778
492,2022-01-26,60,9,602,402,150.16,35,3520
496,2022-01-18,99,9,600,403,127.6,17,299
497,2022-01-09,71,11,600,403,76.13,5,232
502,2022-01-20,96,9,603,400,81.54,16,8861
516,2022-01-08,100,6,603,400,155.68,47,1159
523,2022-01-12,6,2,600,403,90.55,6,303
524,2022-01-21,31,8,602,400,64.96,45,6945
532,2022-01-16,77,5,604,402,144.81,37,3314
537,2022-01-28,25,7,603,403,79.86,37,6425
541,2022-02-24,7,13,604,402,171.42,12,4732
548,2022-02-03,41,13,600,403,70.02,21,343
549,2022-02-05,50,14,600,400,74.16,10,344
553,2022-02-03,59,14,604,403,130.86,45,4877
569,2022-02-11,99,6,600,402,155.38,23,302
583,2022-02-08,15,5,603,400,163.11,12,3298
585,2022-02-14,33,11,600,402,91.29,11,217
587,2022-02-07,48,12,600,401,185.24,12,333
592,2022-02-03,99,14,600,400,91.23,9,263
597,2022-02-02,68,1,602,403,183.29,22,7875
